iter	Logloss
0	0.6671463574
1	0.6425621131
2	0.6200192049
3	0.602101348
4	0.5837601556
5	0.5681038046
6	0.5535768999
7	0.5389118206
8	0.5263986802
9	0.5144301313
10	0.5039616857
11	0.4908327412
12	0.4802679882
13	0.4719627625
14	0.4638909405
15	0.4554982236
16	0.4492759666
17	0.4429863394
18	0.4366317298
19	0.4316763523
20	0.42679819
21	0.4209797597
22	0.4160761335
23	0.4109388117
24	0.4061303122
25	0.4038956082
26	0.4002870425
27	0.3972756605
28	0.393049973
29	0.389493016
30	0.385891198
31	0.3834901659
32	0.3805244188
33	0.3783270367
34	0.3755689061
35	0.3736382782
36	0.3708459365
37	0.3680830816
38	0.3661764455
39	0.3641754534
40	0.3619906535
41	0.3600649467
42	0.3580415033
43	0.3565119328
44	0.3551644126
45	0.3538272277
46	0.3525354588
47	0.3504796142
48	0.3490144004
49	0.3477737104
50	0.3463902037
51	0.3449913036
52	0.3436826329
53	0.3427672045
54	0.3415150309
55	0.3403463444
56	0.3390749388
57	0.3382020043
58	0.3378151201
59	0.3367587594
60	0.3356214608
61	0.3342332897
62	0.333010799
63	0.3322296947
64	0.3313449686
65	0.3302827638
66	0.3288897699
67	0.3277859495
68	0.3269056554
69	0.3260280536
70	0.3250408706
71	0.3242895582
72	0.3228207753
73	0.3223122107
74	0.3215629503
75	0.3209338071
76	0.3202569123
77	0.3192946218
78	0.3183359762
79	0.3175568179
80	0.3168959256
81	0.3162400087
82	0.3157677426
83	0.3151475688
84	0.3144721582
85	0.3136349191
86	0.3129299129
87	0.3121226179
88	0.3116995797
89	0.3111921656
90	0.3104978604
91	0.3100022685
92	0.3094889213
93	0.3087731895
94	0.3081814917
95	0.3077635072
96	0.307435122
97	0.3069961596
98	0.306449601
99	0.306051752
100	0.3057233964
101	0.3052258712
102	0.3048103506
103	0.3044004928
104	0.3039689583
105	0.3035894304
106	0.3028098462
107	0.3023351793
108	0.3018043174
109	0.3015347595
110	0.3008904916
111	0.3003362394
112	0.3001011453
113	0.299356191
114	0.2988497764
115	0.2985724806
116	0.2982915086
117	0.297901088
118	0.2974231504
119	0.2970728516
120	0.2967041192
121	0.296285593
122	0.2959480571
123	0.2956968747
124	0.2954269967
125	0.2951431653
126	0.2945302042
127	0.2944474582
128	0.2939821763
129	0.2935685491
130	0.2931841947
131	0.2927661214
132	0.2923434909
133	0.2920050252
134	0.2912533744
135	0.2910157995
136	0.2907176442
137	0.2903480538
138	0.2899089339
139	0.2893772494
140	0.2889284303
141	0.2886809359
142	0.2884718847
143	0.2880312242
144	0.2876977388
145	0.2873417785
146	0.2870203737
147	0.2868575127
148	0.2864964595
149	0.2862406553
150	0.2857675697
151	0.2851797212
152	0.284923116
153	0.2844674739
154	0.2841874352
155	0.2837424891
156	0.28352466
157	0.2831089655
158	0.2828439071
159	0.2821107306
160	0.2818493939
161	0.2815505654
162	0.2813230931
163	0.2810551515
164	0.2807536499
165	0.2805002996
166	0.2801057515
167	0.2800956423
168	0.2798741969
169	0.2796880808
170	0.2794961082
171	0.2793703511
172	0.2792452111
173	0.2789645994
174	0.2786471514
175	0.2784385333
176	0.2782681364
177	0.2780337669
178	0.277687098
179	0.2775309088
180	0.2771926969
181	0.2769890044
182	0.2766602659
183	0.27657777
184	0.2765429533
185	0.2763336004
186	0.2761518171
187	0.2758411808
188	0.2754466832
189	0.275200866
190	0.2748072054
191	0.274565421
192	0.2743658672
193	0.2742203129
194	0.2740293988
195	0.2736881821
196	0.2734622583
197	0.2732630999
198	0.273081748
199	0.2727559385
200	0.2720305415
201	0.2719209549
202	0.2717166699
203	0.2714594432
204	0.2712190575
205	0.2709764652
206	0.2707810352
207	0.2705580148
208	0.270354067
209	0.2701508622
210	0.2698491482
211	0.2697370929
212	0.269481422
213	0.2693355134
214	0.2690958725
215	0.268838758
216	0.2685462628
217	0.2682209774
218	0.267933048
219	0.2676496557
220	0.2673963019
221	0.2671198652
222	0.2668166561
223	0.2665780383
224	0.266351312
225	0.2660860347
226	0.2659108341
227	0.2657495751
228	0.2655626126
229	0.2653718427
230	0.2650457473
231	0.2647489763
232	0.2644784458
233	0.2643451664
234	0.2640847288
235	0.2638543328
236	0.2636606029
237	0.2634536246
238	0.2632511612
239	0.2629621109
240	0.2626929055
241	0.2625114648
242	0.2623869138
243	0.2622745303
244	0.262020873
245	0.2616480832
246	0.2613915504
247	0.2611428684
248	0.2610744365
249	0.2606736338
250	0.2605956401
251	0.2604156524
252	0.2602606903
253	0.2599919742
254	0.2597941547
255	0.2595620265
256	0.2593882623
257	0.2592194811
258	0.2591329695
259	0.2590010262
260	0.2588839202
261	0.2586495859
262	0.2582947674
263	0.2580606912
264	0.2577915994
265	0.2576327191
266	0.2574546964
267	0.2572360851
268	0.2570441522
269	0.2567636812
270	0.2565704748
271	0.2563307919
272	0.2561222881
273	0.2560415951
274	0.2558238773
275	0.2556519028
276	0.2554441439
277	0.2552536655
278	0.2550929028
279	0.2549236943
280	0.2546769923
281	0.2545197042
282	0.2543314923
283	0.254167889
284	0.2538607035
285	0.253661438
286	0.2534643145
287	0.2533672148
288	0.2532600146
289	0.2530381029
290	0.2527476683
291	0.2525140582
292	0.2521920485
293	0.2519759608
294	0.251891624
295	0.2516098924
296	0.2513137116
297	0.2512340319
298	0.2510942129
299	0.2510270086
300	0.2509374376
301	0.2507030018
302	0.2505946771
303	0.2504513554
304	0.2502317897
305	0.2500773781
306	0.2499564456
307	0.2498268281
308	0.2495614255
309	0.249349144
310	0.2492289461
311	0.2491249047
312	0.2489697611
313	0.248804831
314	0.2486080456
315	0.2484679283
316	0.2483586776
317	0.2481431824
318	0.2479671748
319	0.2478379768
320	0.2475965995
321	0.2475695317
322	0.2473600402
323	0.247204682
324	0.24703502
325	0.2467779165
326	0.2465892013
327	0.2464366726
328	0.2461628886
329	0.2460542644
330	0.2459113467
331	0.2457740934
332	0.2456420167
333	0.2455585735
334	0.2454307655
335	0.2452838837
336	0.2451788365
337	0.2449195681
338	0.2447957295
339	0.2446545285
340	0.2445240007
341	0.2443147765
342	0.2442211047
343	0.2440766577
344	0.2440138224
345	0.2439236584
346	0.2436868488
347	0.2435818235
348	0.2433617008
349	0.2432099781
350	0.2429895184
351	0.2428293645
352	0.2426834829
353	0.2425270879
354	0.2423133252
355	0.2422332813
356	0.2421298749
357	0.2418370413
358	0.2417129705
359	0.2415599552
360	0.2413208936
361	0.2411555464
362	0.240942775
363	0.240873499
364	0.2407220558
365	0.2405638103
366	0.2401572736
367	0.239905597
368	0.2397963222
369	0.2395846503
370	0.2394634866
371	0.2393840399
372	0.239248662
373	0.2389329902
374	0.2388332814
375	0.2386885511
376	0.2385457285
377	0.23841337
378	0.2382938739
379	0.2380338972
380	0.2379712987
381	0.2378009896
382	0.237693343
383	0.2375530382
384	0.2373818886
385	0.2372343938
386	0.2368489448
387	0.2367178015
388	0.2365734606
389	0.2363865276
390	0.236279602
391	0.2359971592
392	0.2359169425
393	0.2356895715
394	0.2355963659
395	0.2354658733
396	0.2353364017
397	0.2351695904
398	0.235038568
399	0.2347230856
400	0.2345839141
401	0.2344101379
402	0.2342722655
403	0.2340507136
404	0.2338884863
405	0.2337134644
406	0.2334544806
407	0.2332058977
408	0.2330902716
409	0.232891532
410	0.2328000814
411	0.2327057203
412	0.2325459984
413	0.2323541605
414	0.232142412
415	0.2319848805
416	0.2317668123
417	0.2316542526
418	0.231536612
419	0.2312932083
420	0.2311027459
421	0.2310127188
422	0.230802931
423	0.2306334541
424	0.2304603939
425	0.230270605
426	0.2301313854
427	0.2300092265
428	0.2298494928
429	0.2296845578
430	0.2295876118
431	0.2294524096
432	0.2293193568
433	0.229075267
434	0.2289000806
435	0.228696662
436	0.2286118701
437	0.2284405417
438	0.2283001426
439	0.2280789856
440	0.2278973317
441	0.2277781895
442	0.2275472841
443	0.2274583661
444	0.2273300645
445	0.2269852351
446	0.2267325031
447	0.2265981597
448	0.2264826907
449	0.2263545358
450	0.2262478705
451	0.2261224236
452	0.2260180268
453	0.2258660499
454	0.2257622149
455	0.225665439
456	0.2255280006
457	0.2252962276
458	0.2251528736
459	0.2249568851
460	0.2247569885
461	0.2243427964
462	0.2241893077
463	0.2240274878
464	0.2239377994
465	0.2238424391
466	0.2236868362
467	0.2236242609
468	0.2234120155
469	0.223287625
470	0.2231837155
471	0.2230147201
472	0.2228712539
473	0.2227735041
474	0.222662677
475	0.2225547587
476	0.2224490208
477	0.2223328179
478	0.2220991139
479	0.221939093
480	0.2217778176
481	0.2216970927
482	0.2216294006
483	0.2214877854
484	0.221358112
485	0.2212183773
486	0.2211355754
487	0.2209336508
488	0.2207847353
489	0.2205704483
490	0.220474969
491	0.2203697068
492	0.2202923908
493	0.2201328364
494	0.2199177677
495	0.2198066143
496	0.2197293359
497	0.2195494894
498	0.2194469275
499	0.2191351345
500	0.2189765973
501	0.2188248001
502	0.2187259915
503	0.2185841316
504	0.2184468615
505	0.2183182011
506	0.2181938101
507	0.2180347982
508	0.2179352151
509	0.2178338967
510	0.2177544777
511	0.2176019536
512	0.2174472686
513	0.2172945726
514	0.217155267
515	0.2170443964
516	0.2168503624
517	0.2167326692
518	0.2165929888
519	0.2164540169
520	0.2163519337
521	0.2162419207
522	0.2161469582
523	0.216072167
524	0.2159886909
525	0.2158801283
526	0.2156934821
527	0.2156069513
528	0.2155088904
529	0.2153743903
530	0.2152410766
531	0.2151504529
532	0.2150277478
533	0.2149651716
534	0.2148719799
535	0.2147493596
536	0.2145682021
537	0.2144632363
538	0.214310884
539	0.214096115
540	0.2139012844
541	0.2137137334
542	0.2136102084
543	0.2135529553
544	0.2134541689
545	0.2133686737
546	0.2131856846
547	0.2130258092
548	0.212849117
549	0.2126824282
550	0.2125436829
