iter	Logloss
0	0.6787247181
1	0.6658723354
2	0.6522368908
3	0.6382769585
4	0.6249544621
5	0.613419199
6	0.6017640114
7	0.5893019676
8	0.578828907
9	0.5675654888
10	0.5566579342
11	0.5436444759
12	0.5340230942
13	0.5229453087
14	0.5139250755
15	0.5032092571
16	0.4926055908
17	0.4832099438
18	0.4727726936
19	0.4633634567
20	0.4534069061
21	0.4439798832
22	0.4346177578
23	0.4250334263
24	0.4164293289
25	0.4082560062
26	0.4002738953
27	0.3929417133
28	0.3861184597
29	0.3791171551
30	0.3707453012
31	0.3636442661
32	0.3576759338
33	0.3510366201
34	0.344102478
35	0.3372514486
36	0.3318059206
37	0.325866127
38	0.3194115639
39	0.3132437706
40	0.3080308437
41	0.3025566578
42	0.2973243237
43	0.2922487736
44	0.2869220972
45	0.2819721937
46	0.2770357609
47	0.2714767694
48	0.2666590214
49	0.2620689869
50	0.2575561762
51	0.2527667761
52	0.2485573292
53	0.244474411
54	0.2395262241
55	0.2358014584
56	0.2323610783
57	0.2288019657
58	0.2254441738
59	0.2213835001
60	0.2172421932
61	0.2136566639
62	0.2100020409
63	0.2065623045
64	0.2033493519
65	0.200624299
66	0.1974704027
67	0.193856144
68	0.1910841703
69	0.1879802704
70	0.1852062106
71	0.1818499207
72	0.1793092489
73	0.1766205907
74	0.1739522338
75	0.1714053631
76	0.168450892
77	0.1659517884
78	0.1637227774
79	0.1612074733
80	0.1588553309
81	0.15609622
82	0.1538938761
83	0.1514062047
84	0.1489508629
85	0.147069633
86	0.1449969292
87	0.1432814598
88	0.1417485476
89	0.1397851586
90	0.1378160238
91	0.136019814
92	0.1340039968
93	0.1320168734
94	0.1302682638
95	0.1286277294
96	0.1268831015
97	0.1249643207
98	0.1228951454
99	0.1212360859
100	0.1196187258
101	0.1181103468
102	0.1165822029
103	0.1151736498
104	0.113831377
105	0.1123110414
106	0.110985899
107	0.1093197465
108	0.1075674772
109	0.1061655283
110	0.1049821496
111	0.1035282016
112	0.1023316383
113	0.1011380434
114	0.1001421928
115	0.09870730639
116	0.09738272429
117	0.09627451897
118	0.09515237212
119	0.09377218485
120	0.09270989895
121	0.09165272713
122	0.090521276
123	0.08950781822
124	0.08829392195
125	0.08722581267
126	0.08611147404
127	0.08526070118
128	0.08422147036
129	0.08336504102
130	0.08254044056
131	0.08177107573
132	0.08084880114
133	0.08002076149
134	0.07932716608
135	0.07841461897
136	0.07762509584
137	0.076636374
138	0.07584728599
139	0.07511920929
140	0.07459331155
141	0.07387707233
142	0.07301404476
143	0.07242815495
144	0.07185434103
145	0.0710072875
146	0.07049179077
147	0.07000054121
148	0.06931670904
149	0.06852043867
150	0.06804661751
151	0.06747968197
152	0.06689919829
153	0.06612638831
154	0.06556586027
155	0.06499650478
156	0.06435862184
157	0.06375427246
158	0.06330601573
159	0.06267640591
160	0.06217809319
161	0.06182188988
162	0.06131322384
163	0.06075299978
164	0.06019309163
165	0.05961334705
166	0.05904291868
167	0.05858485699
168	0.05808902979
169	0.05760225654
170	0.05719870329
171	0.05669064522
172	0.05629191399
173	0.05583615899
174	0.05542165041
175	0.05498608351
176	0.05454717278
177	0.05401054025
178	0.05368383527
179	0.05324397683
180	0.05283850431
181	0.05245451331
182	0.05204684138
183	0.05154089928
184	0.05120285153
185	0.05083889961
186	0.05053960085
187	0.05025072098
188	0.04993742704
189	0.04952675104
190	0.04922919869
191	0.04893663824
192	0.04865534306
193	0.0482486099
194	0.04796958566
195	0.04750069976
196	0.04721624255
197	0.04697991014
198	0.04673899412
199	0.04648725986
200	0.04627132118
201	0.04596578479
202	0.04569594264
203	0.04545473456
204	0.04518759251
205	0.04495702386
206	0.04471401572
207	0.04438319504
208	0.04413233399
209	0.0438062191
210	0.04344952404
211	0.04308214188
212	0.04265907407
213	0.04245996475
214	0.04223898649
215	0.04196369052
216	0.04161105752
217	0.04129499197
218	0.04095198512
219	0.04060716629
220	0.04039123654
221	0.04004125595
222	0.03982599378
223	0.03957433105
224	0.03936809003
225	0.03917684555
226	0.0388513118
227	0.0386823535
228	0.03833330274
229	0.0381359756
230	0.03783448339
231	0.03768640459
232	0.03745039701
233	0.03726351261
234	0.0371257782
235	0.03701834083
236	0.03687812388
237	0.03674500585
238	0.03649352789
239	0.03633441329
240	0.03618283272
241	0.03597382307
242	0.03584025502
243	0.03557211161
244	0.03540717363
245	0.03524081707
246	0.0350179255
247	0.03477088809
248	0.03451691866
249	0.0343893528
250	0.03418172896
251	0.03398321867
252	0.03382299542
253	0.03373772502
254	0.03359565139
255	0.03345476985
256	0.03335089684
257	0.03320695162
258	0.03299773335
259	0.03279927671
260	0.03267795146
261	0.0325393796
262	0.03238775134
263	0.03219423294
264	0.03208818138
265	0.03197362721
266	0.0317723155
267	0.03157601953
268	0.03151222765
269	0.03136955202
270	0.03125537634
271	0.03114894629
272	0.03106226027
273	0.03086311221
274	0.03079311848
275	0.03072775006
276	0.03060402572
277	0.03044457138
278	0.03034203351
279	0.0302598238
280	0.03015588224
281	0.02998853922
282	0.02981893718
283	0.02968963981
284	0.02956551909
285	0.02938733697
286	0.02930466533
287	0.02916217446
288	0.02904521227
289	0.02892060876
290	0.028772223
291	0.02868269086
292	0.02863041162
293	0.02857877314
294	0.02852841318
295	0.02846937776
296	0.02839657366
297	0.02823679447
298	0.02818081379
299	0.02802681327
300	0.02794058919
301	0.02781845331
302	0.02774200439
303	0.02769242823
304	0.02763613164
305	0.02750994861
306	0.02743684351
307	0.0272929728
308	0.02723983228
309	0.02710066736
310	0.02696990371
311	0.02693173289
312	0.0268591404
313	0.02680734992
314	0.02671367228
315	0.02665316164
316	0.02655675113
317	0.0264187336
318	0.02636308074
319	0.02629436255
320	0.0262513876
321	0.02611745894
322	0.02605862617
323	0.02594690323
324	0.02588451505
325	0.02577289939
326	0.0256970346
327	0.02565927804
328	0.02560884356
329	0.02552792728
330	0.02545714974
331	0.02534172237
332	0.025287956
333	0.02521104217
334	0.02516079843
335	0.02513000965
336	0.02507099807
337	0.02502654493
338	0.02499272823
339	0.02493353635
340	0.02486361861
341	0.02483164668
342	0.02473435402
343	0.02469093949
344	0.02464202046
345	0.02459125817
346	0.0245305717
347	0.02444255948
348	0.02436186373
349	0.02433180213
350	0.02429928035
351	0.02425424606
352	0.02420416474
353	0.02415710688
354	0.02413217723
355	0.02407725006
356	0.02403620481
357	0.0239590764
358	0.02385608405
359	0.02383377999
360	0.02375618517
361	0.02372783422
362	0.02366182506
363	0.02360179275
364	0.02352510393
365	0.02343763262
366	0.02336972058
367	0.02327599376
368	0.02323372662
369	0.02320146859
370	0.02315538377
371	0.02311734259
372	0.02308114171
373	0.0230645895
374	0.02298541367
375	0.02289760709
376	0.02282031476
377	0.02277686
378	0.02270044237
379	0.02265775502
380	0.02257817984
381	0.02250884473
382	0.0223872453
383	0.02234400809
384	0.02227463424
385	0.02222294807
386	0.02212536931
387	0.02210162878
388	0.02205101848
389	0.02196986377
390	0.02194510698
391	0.02190129608
392	0.02185941041
393	0.02180749625
394	0.02175100595
395	0.02166371047
396	0.02164322436
397	0.02157091349
398	0.02152414918
399	0.02148963213
400	0.02146422565
401	0.02143306732
402	0.02137125134
403	0.02133339047
404	0.02131758481
405	0.02130155265
406	0.02127275914
407	0.02124885619
408	0.02122692466
409	0.02120757103
410	0.02115837783
411	0.02114500999
412	0.02113453597
413	0.02110599577
414	0.02105296254
415	0.02098043561
416	0.02096713185
417	0.02090754509
418	0.02084978223
419	0.02083466947
420	0.02082324028
421	0.02081059068
422	0.02079065442
423	0.02074644119
424	0.02070622891
425	0.02065263987
426	0.02058821917
427	0.02056636214
428	0.02053364217
429	0.0204862088
430	0.02046591938
431	0.02045039684
432	0.0204089582
433	0.02036407143
434	0.02034867853
435	0.02029096186
436	0.02023087442
437	0.02018375248
438	0.02012096941
439	0.02006767243
440	0.02004226446
441	0.02003061473
442	0.01998511255
443	0.01997320652
444	0.01996107399
445	0.01994335651
446	0.01988093108
447	0.0198492378
448	0.01983650625
449	0.01982635111
450	0.01979532093
451	0.01978199929
452	0.01974728107
453	0.01973469704
454	0.01971677095
455	0.01970673203
456	0.01968862265
457	0.01964001954
458	0.01961807311
459	0.01961127222
460	0.01960336715
461	0.01957882047
462	0.0195356831
463	0.01948080063
464	0.01946955621
465	0.01941904277
466	0.019390589
467	0.01935156733
468	0.01929102987
469	0.01925938874
470	0.01921048462
471	0.01919032335
472	0.0191839546
473	0.01915601492
474	0.01914665997
475	0.01913742721
476	0.01909683645
477	0.01906076223
478	0.0190322578
479	0.01899667382
480	0.01897567511
481	0.01896884143
482	0.01892349124
483	0.01888744831
484	0.0188415736
485	0.01883237064
486	0.01877987087
487	0.01876495779
488	0.01873815954
489	0.01872058362
490	0.01867899299
491	0.01865212321
492	0.01863190532
493	0.0186188221
494	0.01857282817
495	0.01856430173
496	0.01854638159
497	0.01854071915
498	0.01853108257
499	0.01852444112
500	0.01848483086
501	0.0184351027
502	0.01839495748
503	0.01838920861
504	0.01837802827
505	0.01833384633
506	0.01832439452
507	0.01832044274
508	0.01830385178
509	0.01827575117
510	0.01826658845
511	0.01822087467
512	0.01819788814
513	0.01819449663
514	0.01818888485
515	0.01817952991
516	0.01817271113
517	0.01816483438
518	0.01814877987
519	0.01814361662
520	0.01810731739
521	0.01806729734
522	0.01802808046
523	0.01799142063
524	0.01797887832
525	0.0179477632
526	0.0179426074
527	0.01791217774
528	0.01790467501
529	0.01788082421
530	0.01785228103
531	0.01784394532
532	0.01780597568
533	0.01776645482
534	0.01774069369
535	0.01771814227
536	0.0176974833
537	0.01765446216
538	0.01760628223
539	0.01759647429
540	0.01757362187
541	0.01754461229
542	0.01752075553
543	0.01749919951
544	0.01747730374
545	0.01746160388
546	0.01745380461
547	0.01743116677
548	0.01742749214
549	0.01742105484
550	0.01741358042
551	0.01738835573
552	0.0173802048
553	0.01736064255
554	0.01734230071
555	0.01733768731
556	0.01732234061
557	0.01731576324
558	0.01730268598
559	0.0172755003
560	0.01726547331
561	0.01723255813
562	0.01722454578
563	0.01721553952
564	0.01720851809
565	0.01718889326
566	0.01715984643
567	0.01715055406
568	0.01711681932
569	0.01710426807
570	0.01709001958
571	0.01705758572
572	0.01704768687
573	0.01701162457
574	0.01699074656
575	0.01696447134
576	0.01693360507
577	0.01692417115
578	0.0169173032
579	0.01690492928
580	0.01690227687
581	0.0168974489
582	0.01687752306
583	0.01685680747
584	0.01684559286
585	0.01683921218
586	0.01683385819
587	0.01682936549
588	0.01681043357
589	0.01680584252
590	0.01679855138
591	0.01679202318
592	0.01678231806
593	0.0167499423
594	0.01673431545
595	0.01672463864
596	0.01671857536
597	0.01670683622
598	0.01670184433
599	0.01669616103
600	0.01669253707
601	0.01668793559
602	0.01668108553
603	0.01664924175
604	0.01664376408
605	0.01660808027
606	0.01659817398
607	0.01659343392
