iter	Passed	Remaining
447	1138	1402
448	1140	1399
449	1143	1397
450	1145	1394
451	1148	1392
452	1150	1389
453	1153	1387
454	1155	1384
455	1158	1382
456	1161	1380
457	1164	1377
458	1166	1375
459	1169	1372
460	1171	1369
461	1173	1367
462	1176	1364
463	1178	1361
464	1181	1359
465	1183	1356
466	1186	1354
467	1189	1351
468	1192	1349
469	1194	1347
470	1197	1344
471	1200	1342
472	1202	1340
473	1205	1337
474	1208	1335
475	1210	1332
476	1213	1330
477	1215	1327
478	1218	1325
479	1220	1322
480	1223	1320
481	1226	1318
482	1229	1315
483	1231	1312
484	1233	1310
485	1236	1307
486	1239	1305
487	1241	1302
488	1244	1300
489	1246	1297
490	1249	1295
491	1252	1292
492	1255	1290
493	1258	1288
494	1260	1286
495	1263	1284
496	1266	1281
497	1269	1279
498	1271	1276
499	1274	1274
500	1277	1272
501	1280	1270
502	1283	1268
503	1286	1266
504	1289	1264
505	1293	1262
506	1296	1260
507	1299	1258
508	1303	1257
509	1306	1255
510	1310	1253
511	1313	1251
512	1316	1249
513	1319	1247
514	1322	1245
515	1325	1243
516	1328	1241
517	1331	1239
518	1334	1236
519	1337	1234
520	1339	1231
521	1342	1229
522	1345	1226
523	1347	1224
524	1350	1221
525	1352	1219
526	1355	1216
527	1358	1214
528	1361	1211
529	1363	1209
530	1366	1206
531	1368	1204
532	1371	1201
533	1374	1199
534	1376	1196
535	1379	1194
536	1381	1191
537	1384	1188
538	1386	1186
539	1389	1183
540	1392	1181
541	1395	1179
542	1397	1176
543	1400	1174
544	1403	1171
545	1405	1168
546	1408	1166
547	1410	1163
548	1413	1160
549	1415	1158
550	1417	1155
551	1420	1152
552	1422	1150
553	1425	1147
554	1428	1145
555	1430	1142
556	1433	1139
557	1435	1137
558	1438	1134
559	1440	1132
560	1443	1129
561	1446	1126
562	1448	1124
563	1451	1121
564	1453	1119
565	1456	1116
566	1458	1114
567	1461	1111
568	1463	1108
569	1466	1106
570	1469	1103
571	1471	1101
572	1473	1098
573	1476	1095
574	1478	1093
575	1481	1090
576	1484	1088
577	1486	1085
578	1489	1082
579	1491	1080
580	1494	1077
581	1496	1075
582	1499	1072
583	1502	1070
584	1505	1067
585	1507	1065
586	1510	1062
587	1512	1059
588	1515	1057
589	1517	1054
590	1519	1051
591	1522	1049
592	1525	1046
593	1527	1044
594	1530	1041
595	1532	1039
596	1535	1036
597	1538	1034
598	1540	1031
599	1543	1028
600	1545	1026
601	1548	1023
602	1550	1020
603	1553	1018
604	1555	1015
605	1558	1013
606	1560	1010
607	1563	1007
608	1565	1005
609	1568	1002
610	1571	1000
611	1573	997
612	1576	995
613	1578	992
614	1581	989
615	1583	987
616	1586	984
617	1589	982
618	1592	979
619	1594	977
620	1597	974
621	1599	972
622	1602	969
623	1605	967
624	1608	964
625	1610	962
626	1613	959
627	1615	957
628	1618	954
629	1620	951
630	1623	949
631	1626	946
632	1628	944
633	1631	941
634	1633	939
635	1636	936
636	1639	934
637	1641	931
638	1643	928
639	1646	926
640	1648	923
641	1651	920
642	1653	918
643	1656	915
644	1659	913
645	1661	910
646	1664	907
647	1666	905
648	1669	902
649	1671	900
650	1674	897
651	1676	895
652	1679	892
653	1681	889
654	1684	887
655	1686	884
656	1689	881
657	1692	879
658	1694	876
659	1697	874
660	1700	872
661	1702	869
662	1705	866
663	1707	864
664	1710	861
665	1713	859
666	1715	856
667	1717	853
668	1720	851
669	1723	848
670	1725	846
671	1728	843
672	1731	841
673	1733	838
674	1736	836
